Image,Name,Price,Rating
https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/z/b/q/-original-imagxbywcadw6gpa.jpeg?q=70,"Thomson 7.5 kg 5 Star Aqua Magic Semi Automatic Top Load Washing Machine Black, Grey","₹7,790",4
https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/x/o/w/-original-imagt4z99dgzhggc.jpeg?q=70,"Voltas Beko by A Tata Product 9 kg washing machine with Soft Closing door, Water proof IPX4 protection...","₹12,690",4.3
https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/8/f/4/-original-imagrcevec53dqz8.jpeg?q=70,"Haier 6.5 kg 5 Star Oceanus Wave Drum Washing Machine Fully Automatic Top Load Brown, Grey","₹12,490",4.3
https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/z/l/l/-original-imags7tpwaxawghz.jpeg?q=70,realme TechLife 7.5 kg 5 Star Rating Fabric Safe Wash Fully Automatic Top Load Washing Machine Grey,"₹11,990",4.1
https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/b/c/g/-original-imagvrbhcwuwz7j7.jpeg?q=70,"LG 7 kg 5 Star with Wind Jet Dry, Collar Scrubber and Rust Free Plastic Base Semi Automatic Top Load W...","₹11,490",4.4
https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/s/z/p/-original-imagunzsgkuss6fy.jpeg?q=70,"Intex 6.5 kg With Air Dry Technology, Wave Pulsator Design, Magic Filter Transparent Lid Semi Automati...","₹7,290",4.1
https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/q/h/c/-original-imags7pfmzfeeag6.jpeg?q=70,"realme TechLife 8.5 kg 5 Star rating Semi Automatic Top Load Washing Machine Grey, Black","₹9,990",4.2
https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/o/b/o/-original-imagxxymh95awv2b.jpeg?q=70,"FOXSKY 7.5 kg Semi Automatic Top Load Washing Machine White, Maroon","₹6,990",
https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/7/6/g/-original-imagwhdgkcnqxszd.jpeg?q=70,"SAMSUNG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey","₹36,990",4.4
https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/m/z/w/-original-imagh74bbufkhenh.jpeg?q=70,SAMSUNG 7 kg Diamond Drum Fully Automatic Top Load Washing Machine Silver,"₹15,990",4.3
https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/p/m/s/-original-imagvfgjgqv2gcjv.jpeg?q=70,"Voltas Beko by A Tata Product 7 kg with Fast Dry, Double Waterfall, 5 Wing Pulsator Semi Automatic Top...","₹8,990",4.3
https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/i/p/z/-original-imagt985rkse6hhv.jpeg?q=70,Voltas Beko by A Tata Product 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Whi...,"₹25,990",3.9
https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/k/c/l/-original-imagx7qhzg4f3bca.jpeg?q=70,"LG 7 kg 5 Star with Smart Inverter Technology, TurboDrum and Smart Diagnosis Fully Automatic Top Load ...","₹16,990",4.3
https://rukminim2.flixcart.com/image/312/312/km2clu80/washing-machine-new/f/a/1/t62cgn-crystal-62-onida-original-imagffsh5zugj2gg.jpeg?q=70,ONIDA 6.2 kg Fully Automatic Top Load Washing Machine Grey,"₹10,790",4.2
https://rukminim2.flixcart.com/image/312/312/xif0q/washing-machine-new/m/r/e/-original-imagx7qmg7cmycjr.jpeg?q=70,"LG 7 kg 5 Star with Steam, Inverter Direct Drive Technology, 6 Motion DD, Touch Panel and 1200 RPM Ful...","₹28,990",4.4
